Websites,Popularity (unique visitors per month)[1],Front-end (Client-side),Back-end (Server-side),Database,Notes
Google[2],2800000000,"JavaScript, TypeScript","C, C++, Go,[3] Java, Python, Node","Bigtable,[4] MariaDB[5]",The most used search engine in the world.
Facebook,1120000000,"JavaScript, TypeScript, Flow","Hack/HHVM, Python, C++, Java, Erlang, D,[6] Haskell[7]","MariaDB, MySQL,[8] HBase, Cassandra[9]",The most visited social networking site.
YouTube,1100000000,"JavaScript, TypeScript","Python, C, C++, Java,[10] Go[11]","Vitess, BigTable, MariaDB[5]",The most popular video sharing site.
Yahoo,750000000,JavaScript,PHP,"PostgreSQL, HBase, Cassandra, MongoDB,[12]",
Etsy,"516,000,000 (Total, not unique)[13]",JavaScript,PHP[14],"MySQL, Redis[15]",E-commerce website.
Amazon,"2,400,000,000[16]",JavaScript,"Java, C++, Perl[17]","DynamoDB, RDS/Aurora, Redshift[18]",The most used e-commerce site in the world.
Wikipedia,475000000,JavaScript,PHP,MariaDB[19],"A free online encyclopedia based on MediaWiki, which is programmed in PHP."
Fandom,"315,000,000[20]",JavaScript,PHP,MySQL,Wiki hosting service.
X,290000000,JavaScript,"C++, Java,[21] Scala,[22] Ruby (Ruby on Rails)",MySQL[23],Popular social network.
Bing,285000000,JavaScript,"C++, C#","Microsoft SQL Server, Cosmos DB",Search engine from Microsoft.
eBay,285000000,JavaScript,"Java,[24] JavaScript,[25] Scala[26]",Oracle Database,Online auction house.
MSN,280000000,JavaScript,C# (ASP.NET),Microsoft SQL Server,"An email client, for simple use. Previously known as ""messenger"", not to be confused with Facebook's messaging platform."
LinkedIn,260000000,JavaScript,"Java, JavaScript,[27] Scala",Venice[28][29],World's largest professional network.
Pinterest,250000000,JavaScript,"Python (Django),[30] Erlang, Elixir[31]","MySQL, Redis[32]",Search engine for ideas.
WordPress.com,"240,000,000 [33]",JavaScript,PHP[34],MariaDB[35],Website manager software.
Netflix,"223.090.000 (Subscribers, not visitors)",JavaScript,"Python, Java[36]","NMDB,[37] PostgreSQL",The biggest video streaming service in the world.
